PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Patrik Gunnarsson,2000-11-15,Iceland,84.0,190.0,Goalkeeper
Jonas Lössl,1989-02-01,Denmark,89.0,195.0,Goalkeeper
Christian Eriksen,1992-02-14,Denmark,76.0,182.0,Midfielder
Jason Steele,1990-08-18,England,79.0,188.0,Goalkeeper
Robert Sánchez,1997-11-18,Spain,90.0,197.0,Goalkeeper
Tariq Lamptey,2000-09-30,England,,,Defender
Adam Webster,1995-01-04,England,75.0,191.0,Defender
Lewis Dunk,1991-11-21,England,88.0,192.0,Defender
Joël Veltman,1992-01-15,Netherlands,75.0,184.0,Defender
Yves Bissouma,1996-08-30,Mali,80.0,182.0,Midfielder
Alexis Mac Allister,1998-12-24,Argentina,72.0,176.0,Midfielder
Pascal Groß,1991-06-15,Germany,78.0,181.0,Midfielder
Adam Lallana,1988-05-10,England,73.0,172.0,Midfielder
Jakub Moder,1999-04-07,Poland,78.0,188.0,Midfielder
Steven Alzate,1998-09-08,Colombia,75.0,180.0,Forward
Solly March,1994-07-20,England,88.0,180.0,Midfielder
Neal Maupay,1996-08-14,France,69.0,173.0,Forward
Leandro Trossard,1994-12-04,Belgium,61.0,171.0,Forward
Danny Welbeck,1990-11-26,England,73.0,185.0,Forward
Shane Duffy,1992-01-01,Ireland,76.0,193.0,Defender
Enock Mwepu,1998-01-01,Zambia,76.0,184.0,Midfielder
Haydon Roberts,2002-05-10,England,,,Defender
James Furlong,2002-06-07,Ireland,,,Defender
Marc Leonard,2001-12-19,Scotland,,,Midfielder
Evan Ferguson,2004-10-19,Ireland,,,Forward
Odeluga Offiah,2002-10-26,England,,,Defender
Antef Tsoungui,2002-12-30,England,,,Defender
Andrew Moran,2003-10-15,Ireland,,,Midfielder
Thomas McGill,2000-03-25,England,,,Goalkeeper
Marc Cucurella,1998-07-22,Spain,66.0,172.0,Defender
Tudor Baluta,1999-03-27,Romania,80.0,192.0,Defender
Ed Turns,2002-10-18,Wales,,,Defender
Jeremy Sarmiento,2002-06-16,Ecuador,,,Forward
Lars Dendoncker,2001-04-03,Belgium,,,Midfielder
Moisés Caicedo,2001-11-02,Ecuador,73.0,178.0,Midfielder
Kjell Scherpen,2000-01-23,Netherlands,98.0,204.0,Goalkeeper
Nick Pope,1992-04-19,England,76.0,191.0,Goalkeeper
Will Norris,1993-08-12,England,74.0,195.0,Goalkeeper
Matthew Lowton,1989-06-09,England,78.0,180.0,Defender
Charlie Taylor,1993-09-18,England,70.0,176.0,Defender
James Tarkowski,1992-11-19,England,81.0,185.0,Defender
Ben Mee,1989-09-21,England,74.0,180.0,Defender
Erik Pieters,1988-08-07,Netherlands,84.0,183.0,Defender
Phil Bardsley,1985-06-28,Scotland,74.0,180.0,Defender
Kevin Long,1990-08-18,Ireland,83.0,188.0,Defender
Jack Cork,1989-06-25,England,70.0,183.0,Midfielder
Jóhann Gudmundsson,1990-10-27,Iceland,78.0,186.0,Midfielder
Josh Brownhill,1995-12-19,England,69.0,180.0,Midfielder
Dwight McNeil,1999-11-22,England,68.0,183.0,Forward
Dale Stephens,1989-06-12,England,71.0,169.0,Midfielder
Ashley Westwood,1990-04-01,England,80.0,175.0,Midfielder
Ashley Barnes,1989-10-30,England,77.0,186.0,Forward
Jay Rodriguez,1989-07-29,England,84.0,185.0,Forward
Matej Vydra,1992-05-01,Czech Republic,71.0,180.0,Forward
Nathan Collins,2001-04-30,Ireland,,193.0,Defender
Wayne Hennessey,1987-01-24,Wales,90.0,198.0,Goalkeeper
Bobby Thomas,2001-01-30,England,,,Defender
Lewis Richardson,2003-02-07,England,,,Midfielder
Owen Dodgson,2003-03-19,England,,,Defender
Aaron Lennon,1987-04-16,England,63.0,165.0,Midfielder
Maxwel Cornet,1996-09-27,Cote D’Ivoire,69.0,179.0,Midfielder
Connor Roberts,1995-09-23,Wales,71.0,175.0,Defender
Mark Helm,2001-10-21,England,,,Midfielder
Joseph McGlynn,2002-09-27,Scotland,,,Forward
Wout Weghorst,1992-08-07,Netherlands,84.0,197.0,Forward
Sam Waller,2003-09-09,England,,,Goalkeeper
Kepa Arrizabalaga,1994-10-03,Spain,84.0,189.0,Goalkeeper
Édouard Mendy,1992-03-01,Senegal,86.0,197.0,Goalkeeper
Antonio Rüdiger,1993-03-03,Germany,85.0,190.0,Defender
Marcos Alonso,1990-12-28,Spain,84.0,188.0,Defender
Andreas Christensen,1996-04-10,Denmark,82.0,187.0,Defender
Thiago Silva,1984-09-22,Brazil,79.0,183.0,Defender
Ben Chilwell,1996-12-21,England,77.0,178.0,Defender
Reece James,1999-12-08,England,82.0,182.0,Defender
César Azpilicueta,1989-08-28,Spain,76.0,178.0,Defender
Jorginho,1991-12-20,Italy,65.0,180.0,Midfielder
N'Golo Kanté,1991-03-29,France,68.0,168.0,Midfielder
Christian Pulisic,1998-09-18,United States,69.0,172.0,Midfielder
Mateo Kovacic,1994-05-06,Croatia,78.0,178.0,Midfielder
Mason Mount,1999-01-10,England,70.0,178.0,Midfielder
Hakim Ziyech,1993-03-19,Morocco,65.0,180.0,Midfielder
Kai Havertz,1999-06-11,Germany,83.0,188.0,Midfielder
Timo Werner,1996-03-06,Germany,75.0,180.0,Forward
Callum Hudson-Odoi,2000-11-07,England,76.0,182.0,Forward
Ruben Loftus-Cheek,1996-01-23,England,88.0,191.0,Midfielder
Trevoh Chalobah,1999-07-05,England,75.0,190.0,Defender
Marcus Bettinelli,1992-05-24,England,82.0,194.0,Goalkeeper
Romelu Lukaku,1993-05-13,Belgium,93.0,190.0,Forward
Lucas Bergström,2002-09-05,Finland,,,Goalkeeper
Saúl Ñíguez,1994-11-21,Spain,76.0,184.0,Midfielder
Ross Barkley,1993-12-05,England,76.0,189.0,Midfielder
Malang Sarr,1999-01-23,France,73.0,182.0,Defender
Xavier Mbuyamba,2001-12-31,Netherlands,,,Defender
Teddy Sharman-Lowe,2003-03-30,England,73.0,189.0,Goalkeeper
Harvey Vale,2003-09-11,England,,,Midfielder
Xavier Simons,2003-02-20,England,,,Midfielder
Charlie Webster,2004-01-31,England,,,Midfielder
Lewis Hall,2004-09-08,England,,,Midfielder
Jude Soonsup-Bell,2004-01-10,England,,,Forward
Kenedy,1996-02-08,Brazil,77.0,182.0,Midfielder
Dylan Williams,2003-09-13,England,,,Defender
Jack Butland,1993-03-10,England,95.0,196.0,Goalkeeper
Vicente Guaita,1987-01-10,Spain,81.0,190.0,Goalkeeper
Joel Ward,1989-10-29,England,83.0,188.0,Defender
James Tomkins,1989-03-29,England,74.0,192.0,Defender
Nathaniel Clyne,1991-04-05,England,67.0,175.0,Defender
Tyrick Mitchell,1999-09-01,England,,,Defender
Martin Kelly,1990-04-27,England,77.0,191.0,Defender
Nathan Ferguson,2000-10-06,England,74.0,178.0,Defender
Luka Milivojevic,1991-04-07,Serbia,80.0,186.0,Midfielder
Cheikhou Kouyaté,1989-12-21,Senegal,83.0,189.0,Midfielder
Jeffrey Schlupp,1992-12-23,Ghana,72.0,178.0,Midfielder
James McArthur,1987-10-07,Scotland,75.0,178.0,Midfielder
Eberechi Eze,1998-06-29,England,,,Midfielder
Jairo Riedewald,1996-09-09,Netherlands,79.0,182.0,Midfielder
Jordan Ayew,1991-09-11,Ghana,80.0,182.0,Forward
Wilfried Zaha,1992-11-10,Cote D’Ivoire,66.0,180.0,Forward
Christian Benteke,1990-12-03,Belgium,83.0,190.0,Forward
Michael Olise,2001-12-12,France,,176.0,Midfielder
Marc Guéhi,2000-07-13,England,82.0,182.0,Defender
Joachim Andersen,1996-05-31,Denmark,90.0,192.0,Defender
Conor Gallagher,2000-02-06,England,,182.0,Midfielder
Remi Matthews,1994-02-10,England,78.0,184.0,Goalkeeper
Reece Hannam,2000-09-11,England,,,Defender
Jesurun Rak-Sakyi,2002-10-05,England,,,Midfielder
Scott Banks,2001-09-26,Scotland,,,Midfielder
Will Hughes,1995-04-17,England,74.0,185.0,Midfielder
Odsonne Édouard,1998-01-16,France,83.0,187.0,Forward
Jack Wells-Morrison,2004-02-18,England,,,Midfielder
Jean-Philippe Mateta,1997-06-28,France,88.0,192.0,Forward
Omotayo Adaramola,2003-11-13,Ireland,,,Defender
Jordan Pickford,1994-03-07,England,77.0,185.0,Goalkeeper
Mason Holgate,1996-10-22,England,63.0,184.0,Defender
Michael Keane,1993-01-11,England,82.0,191.0,Defender
Yerry Mina,1994-09-23,Colombia,94.0,195.0,Defender
Ben Godfrey,1998-01-15,England,74.0,183.0,Defender
Séamus Coleman,1988-10-11,Ireland,67.0,177.0,Defender
Allan,1991-01-08,Brazil,73.0,173.0,Midfielder
Fabian Delph,1989-11-21,England,60.0,174.0,Midfielder
Abdoulaye Doucouré,1993-01-01,Mali,75.0,184.0,Midfielder
André Gomes,1993-07-30,Portugal,84.0,188.0,Midfielder
Tom Davies,1998-06-30,England,70.0,180.0,Midfielder
Richarlison,1997-05-10,Brazil,83.0,184.0,Forward
Dominic Calvert-Lewin,1997-03-16,England,71.0,187.0,Forward
Alexander Iwobi,1996-05-03,Nigeria,75.0,180.0,Midfielder
Jonjoe Kenny,1997-03-15,England,67.0,176.0,Defender
Jarrad Branthwaite,2002-06-27,England,82.0,195.0,Defender
Cenk Tosun,1991-06-07,Turkey,78.0,183.0,Forward
Andros Townsend,1991-07-16,England,77.0,181.0,Midfielder
Asmir Begovic,1987-06-20,Bosnia & Herzegovina,101.0,199.0,Goalkeeper
Demarai Gray,1996-06-28,England,74.0,180.0,Midfielder
Anthony Gordon,2001-02-24,England,,,Midfielder
Andy Lonergan,1983-10-19,England,87.0,192.0,Goalkeeper
Salomón Rondón,1989-09-16,Venezuela,98.0,186.0,Forward
Lewis Dobbin,2003-01-03,England,,,Forward
Charlie Whitaker,2003-09-16,England,,,Midfielder
Harry Tyrer,2001-12-06,England,,,Goalkeeper
Reece Welch,2003-09-19,England,,,Defender
Tyler Onyango,2003-03-04,England,,190.0,Midfielder
Vitalii Mykolenko,1999-05-29,Ukraine,71.0,180.0,Defender
Nathan Patterson,2001-10-16,Scotland,72.0,183.0,Defender
Anwar El Ghazi,1995-05-03,Netherlands,90.0,188.0,Midfielder
Donny van de Beek,1997-04-18,Netherlands,76.0,184.0,Midfielder
Dele Alli,1996-04-11,England,76.0,188.0,Midfielder
Ryan Astley,2001-10-04,Wales,,,Defender
Isaac Price,2003-09-26,Northern Ireland,,,Forward
Illan Meslier,2000-03-02,France,74.0,193.0,Goalkeeper
Luke Ayling,1991-08-25,England,72.0,185.0,Defender
Robin Koch,1996-07-17,Germany,85.0,192.0,Defender
Liam Cooper,1991-08-30,Scotland,73.0,180.0,Defender
Diego Llorente,1993-08-16,Spain,75.0,186.0,Defender
Pascal Struijk,1999-08-11,Netherlands,,190.0,Defender
Adam Forshaw,1991-10-08,England,71.0,174.0,Midfielder
Stuart Dallas,1991-04-19,Northern Ireland,81.0,183.0,Midfielder
Kalvin Phillips,1995-12-02,England,72.0,178.0,Midfielder
Mateusz Klich,1990-06-13,Poland,84.0,183.0,Midfielder
Jamie Shackleton,1999-10-08,England,65.0,168.0,Midfielder
Patrick Bamford,1993-09-05,England,71.0,185.0,Forward
Tyler Roberts,1999-01-12,Wales,75.0,180.0,Forward
Raphinha,1996-12-14,Brazil,68.0,176.0,Forward
Rodrigo,1991-03-06,Spain,77.0,182.0,Forward
Laurens De Bock,1992-11-07,Belgium,74.0,179.0,Defender
Jack Harrison,1996-11-20,England,70.0,175.0,Midfielder
Junior Firpo,1996-08-22,Spain,78.0,184.0,Defender
Kristoffer Klaesson,2000-11-27,Norway,76.0,189.0,Goalkeeper
Crysencio Summerville,2001-10-30,Netherlands,,174.0,Midfielder
Sam Greenwood,2002-01-26,England,,185.0,Forward
Charlie Cresswell,2002-08-17,England,,,Defender
Joe Gelhardt,2002-05-04,England,65.0,175.0,Forward
Liam McCarron,2001-03-07,Scotland,,175.0,Midfielder
Daniel James,1997-11-10,Wales,76.0,171.0,Midfielder
Stuart McKinstry,2002-09-18,Scotland,,,Midfielder
Leo Fuhr Hjelde,2003-08-26,Norway,,188.0,Defender
Lewis Bate,2002-10-28,England,,,Midfielder
Jack Jenkins,2002-03-23,England,,,Midfielder
Kris Moore,2003-11-13,England,,,Defender
Nohan Kenneh,2003-01-10,England,,,Midfielder
Archie Gray,2006-03-12,England,,,Midfielder
Kasper Schmeichel,1986-11-05,Denmark,89.0,189.0,Goalkeeper
Danny Ward,1993-06-22,Wales,88.0,191.0,Goalkeeper
Eldin Jakupovic,1984-10-02,Switzerland,85.0,191.0,Goalkeeper
James Justin,1998-02-23,England,80.0,183.0,Defender
Wesley Fofana,2000-12-17,France,,190.0,Defender
Çaglar Söyüncü,1996-05-23,Turkey,82.0,185.0,Defender
Jonny Evans,1988-01-03,Northern Ireland,77.0,188.0,Defender
Daniel Amartey,1994-12-21,Ghana,79.0,186.0,Defender
Ricardo Pereira,1993-10-06,Portugal,70.0,175.0,Defender
Timothy Castagne,1995-12-05,Belgium,80.0,185.0,Defender
Luke Thomas,2001-06-10,England,,,Defender
Youri Tielemans,1997-05-07,Belgium,72.0,176.0,Midfielder
James Maddison,1996-11-23,England,73.0,175.0,Midfielder
Marc Albrighton,1989-11-18,England,74.0,175.0,Midfielder
Harvey Barnes,1997-12-09,England,66.0,174.0,Midfielder
Hamza Choudhury,1997-10-01,England,64.0,178.0,Midfielder
Nampalys Mendy,1992-06-23,Senegal,73.0,167.0,Midfielder
Wilfred Ndidi,1996-12-16,Nigeria,74.0,183.0,Midfielder
Jamie Vardy,1987-01-11,England,74.0,179.0,Forward
Kelechi Iheanacho,1996-10-03,Nigeria,82.0,185.0,Forward
Ayoze Pérez,1993-07-29,Spain,72.0,178.0,Forward
Patson Daka,1998-10-09,Zambia,71.0,183.0,Forward
Boubakary Soumaré,1999-02-27,France,70.0,188.0,Midfielder
Ryan Bertrand,1989-08-05,England,85.0,179.0,Defender
Kiernan Dewsbury-Hall,1998-09-06,England,,,Midfielder
Jannik Vestergaard,1992-08-03,Denmark,98.0,199.0,Defender
Ben Nelson,2004-03-18,England,,,Defender
Thanawat Suengchitthawon,2000-01-08,Thailand,,,Midfielder
Ademola Lookman,1997-10-20,Nigeria,71.0,174.0,Forward
Wanya Marçal-Madivadua,2002-10-19,Portugal,,,Midfielder
Oliver Ewing,2003-01-03,Wales,,,Midfielder
Lewis Brunt,2000-11-06,England,,,Midfielder
Sammy Braybrooke,2004-03-12,England,,,Midfielder
Will Alves,2005-02-04,England,,,Forward
Chituru Odunze,2002-10-14,United States,,200.0,Goalkeeper
Alisson,1992-10-02,Brazil,91.0,191.0,Goalkeeper
Adrián,1987-01-03,Spain,80.0,190.0,Goalkeeper
Caoimhin Kelleher,1998-11-23,Ireland,74.0,178.0,Goalkeeper
Virgil van Dijk,1991-07-08,Netherlands,92.0,193.0,Defender
Joseph Gomez,1997-05-23,England,77.0,188.0,Defender
Konstantinos Tsimikas,1996-05-12,Greece,77.0,178.0,Defender
Andrew Robertson,1994-03-11,Scotland,64.0,178.0,Defender
Joel Matip,1991-08-08,Cameroon,90.0,195.0,Defender
Trent Alexander-Arnold,1998-10-07,England,69.0,175.0,Defender
Fabinho,1993-10-23,Brazil,78.0,188.0,Midfielder
Thiago,1991-04-11,Spain,70.0,174.0,Midfielder
James Milner,1986-01-04,England,70.0,175.0,Midfielder
Naby Keïta,1995-02-10,Guinea,64.0,172.0,Midfielder
Jordan Henderson,1990-06-17,England,67.0,182.0,Midfielder
Alex Oxlade-Chamberlain,1993-08-15,England,70.0,180.0,Midfielder
Curtis Jones,2001-01-30,England,75.0,185.0,Midfielder
Roberto Firmino,1991-10-02,Brazil,76.0,181.0,Forward
Sadio Mané,1992-04-10,Senegal,69.0,175.0,Forward
Mohamed Salah,1992-06-15,Egypt,71.0,175.0,Forward
Diogo Jota,1996-12-04,Portugal,68.0,178.0,Forward
Divock Origi,1995-04-18,Belgium,75.0,185.0,Forward
Loris Karius,1993-06-22,Germany,87.0,189.0,Goalkeeper
Harvey Elliott,2003-04-04,England,,170.0,Midfielder
Takumi Minamino,1995-01-16,Japan,68.0,174.0,Forward
Ibrahima Konaté,1999-05-25,France,95.0,194.0,Defender
James Balagizi,2003-09-20,England,,,Midfielder
Tyler Morton,2002-10-31,England,,,Midfielder
Conor Bradley,2003-07-09,Northern Ireland,,,Midfielder
Kaide Gordon,2004-10-05,England,,,Forward
Marcelo Pitaluga,2002-12-20,Brazil,77.0,192.0,Goalkeeper
Owen Beck,2002-08-09,Wales,,,Defender
Elijah Dixon-Bonner,2001-01-01,England,,,Midfielder
Harvey Blair,2003-09-14,England,,,Forward
James Norris,2003-04-04,England,,,Defender
Max Woltman,2003-08-20,England,,,Forward
Jarell Quansah,2003-01-29,England,,,Defender
Billy Koumetio,2002-11-14,France,,,Defender
Isaac Mabaya,2004-09-22,England,,,Midfielder
Melkamu Frauendorf,2004-01-12,Germany,,,Midfielder
Luis Díaz,1997-01-13,Colombia,65.0,178.0,Forward
Harvey Davies,2003-09-03,England,,,Goalkeeper
Zack Steffen,1995-04-02,United States,86.0,191.0,Goalkeeper
Ederson,1993-08-17,Brazil,86.0,188.0,Goalkeeper
Kyle Walker,1990-05-28,England,70.0,178.0,Defender
Rúben Dias,1997-05-14,Portugal,76.0,186.0,Defender
John Stones,1994-05-28,England,70.0,188.0,Defender
Nathan Aké,1995-02-18,Netherlands,75.0,180.0,Defender
Oleksandr Zinchenko,1996-12-15,Ukraine,64.0,175.0,Defender
Aymeric Laporte,1994-05-27,Spain,86.0,191.0,Defender
Benjamin Mendy,1994-07-17,France,85.0,185.0,Defender
João Cancelo,1994-05-27,Portugal,74.0,182.0,Defender
Ilkay Gündogan,1990-10-24,Germany,80.0,180.0,Midfielder
Rodri,1996-06-22,Spain,82.0,191.0,Midfielder
Kevin De Bruyne,1991-06-28,Belgium,68.0,181.0,Midfielder
Bernardo Silva,1994-08-10,Portugal,64.0,173.0,Midfielder
Fernandinho,1985-05-04,Brazil,67.0,179.0,Midfielder
Phil Foden,2000-05-28,England,70.0,171.0,Midfielder
Raheem Sterling,1994-12-08,England,69.0,170.0,Forward
Gabriel Jesus,1997-04-03,Brazil,73.0,175.0,Forward
Riyad Mahrez,1991-02-21,Algeria,67.0,179.0,Forward
Scott Carson,1985-09-03,England,76.0,190.0,Goalkeeper
Jack Grealish,1995-09-10,England,68.0,175.0,Midfielder
Cole Palmer,2002-05-06,England,,,Midfielder
Cieran Slicker,2002-09-15,Scotland,,,Goalkeeper
Roméo Lavia,2004-01-06,Belgium,,,Midfielder
Luke Mbete,2003-09-18,England,,,Defender
Joshua Wilson-Esbrand,2002-12-26,England,,,Defender
CJ Egan-Riley,2003-01-02,England,,,Defender
James McAtee,2002-10-18,England,,,Midfielder
Samuel Edozie,2003-01-28,England,,,Forward
Kayky,2003-06-11,Brazil,68.0,175.0,Forward
Oscar Bobb,2003-07-12,Norway,,,Midfielder
Liam Delap,2003-02-08,England,,,Forward
David de Gea,1990-11-07,Spain,76.0,192.0,Goalkeeper
Dean Henderson,1997-03-12,England,85.0,188.0,Goalkeeper
Victor Lindelöf,1994-07-17,Sweden,80.0,187.0,Defender
Eric Bailly,1994-04-12,Cote D’Ivoire,77.0,187.0,Defender
Phil Jones,1992-02-21,England,71.0,180.0,Defender
Harry Maguire,1993-03-05,England,100.0,194.0,Defender
Luke Shaw,1995-07-12,England,75.0,185.0,Defender
Alex Telles,1992-12-15,Brazil,71.0,181.0,Defender
Aaron Wan-Bissaka,1997-11-26,England,72.0,183.0,Defender
Paul Pogba,1993-03-15,France,84.0,191.0,Midfielder
Fred,1993-03-05,Brazil,64.0,169.0,Midfielder
Bruno Fernandes,1994-09-08,Portugal,69.0,179.0,Midfielder
Nemanja Matic,1988-08-01,Serbia,85.0,194.0,Midfielder
Scott McTominay,1996-12-08,Scotland,88.0,193.0,Midfielder
Hannibal Mejbri,2003-01-21,Tunisia,,177.0,Midfielder
Edinson Cavani,1987-02-14,Uruguay,71.0,184.0,Forward
Marcus Rashford,1997-10-31,England,70.0,180.0,Forward
Mason Greenwood,2001-10-01,England,70.0,181.0,Forward
Anthony Elanga,2002-04-27,Sweden,,178.0,Forward
Shola Shoretire,2004-02-02,England,,170.0,Forward
Diogo Dalot,1999-03-18,Portugal,76.0,183.0,Defender
Jesse Lingard,1992-12-15,England,62.0,175.0,Midfielder
Juan Mata,1988-04-28,Spain,63.0,170.0,Midfielder
Tom Heaton,1986-04-15,England,85.0,188.0,Goalkeeper
Lee Grant,1983-01-27,England,83.0,193.0,Goalkeeper
Facundo Pellistri,2001-12-20,Uruguay,69.0,175.0,Midfielder
Jadon Sancho,2000-03-25,England,76.0,180.0,Forward
Raphaël Varane,1993-04-25,France,81.0,191.0,Defender
Cristiano Ronaldo,1985-02-05,Portugal,83.0,187.0,Forward
Bjorn Hardley,2002-12-19,Netherlands,,,Defender
Charlie Savage,2003-05-02,Wales,,,Midfielder
Zidane Iqbal,2003-04-27,Iraq,,,Midfielder
Martin Dúbravka,1989-01-15,Slovakia,83.0,190.0,Goalkeeper
Karl Darlow,1990-10-08,England,88.0,190.0,Goalkeeper
Mark Gillespie,1992-03-27,England,83.0,192.0,Goalkeeper
Daniel Langley,2000-12-28,England,,,Goalkeeper
Ciaran Clark,1989-09-26,Ireland,88.0,185.0,Defender
Paul Dummett,1991-09-26,Wales,82.0,183.0,Defender
Fabian Schär,1991-12-20,Switzerland,84.0,188.0,Defender
Jamaal Lascelles,1993-11-11,England,89.0,188.0,Defender
Jamal Lewis,1998-01-25,Northern Ireland,70.0,178.0,Defender
Emil Krafth,1994-08-02,Sweden,83.0,184.0,Defender
Federico Fernández,1989-02-21,Argentina,83.0,190.0,Defender
Javier Manquillo,1994-05-05,Spain,76.0,178.0,Defender
Jonjo Shelvey,1992-02-27,England,80.0,184.0,Midfielder
Matt Ritchie,1989-09-10,Scotland,76.0,172.0,Midfielder
Isaac Hayden,1995-03-22,England,79.0,185.0,Midfielder
Ryan Fraser,1994-02-24,Scotland,70.0,163.0,Midfielder
